Date,Open,High,Low,Close,Adj Close,Volume
2/10/1992,0.571429,0.573661,0.5625,0.563616,0.463525,86441600
2/11/1992,0.5625,0.569196,0.555804,0.561384,0.46169,122012800
2/12/1992,0.569196,0.584821,0.5625,0.582589,0.479129,137961600
2/13/1992,0.582589,0.582589,0.569196,0.573661,0.471787,76014400
2/14/1992,0.569196,0.573661,0.564732,0.572545,0.47175,72587200
2/18/1992,0.573661,0.575893,0.560268,0.560268,0.461634,68353600
2/19/1992,0.560268,0.5625,0.551339,0.553571,0.456116,95670400
2/20/1992,0.558036,0.578125,0.555804,0.577009,0.475428,130860800
2/21/1992,0.578125,0.584821,0.575893,0.580357,0.478186,151580800
2/24/1992,0.591518,0.59375,0.587054,0.590402,0.486463,171404800
2/25/1992,0.591518,0.611607,0.582589,0.611607,0.503935,227214400
2/26/1992,0.609375,0.625,0.609375,0.623884,0.51405,229084800
2/27/1992,0.625,0.625,0.607143,0.611607,0.503935,122169600
2/28/1992,0.611607,0.616071,0.598214,0.602679,0.496578,90395200
3/2/1992,0.604911,0.611607,0.600446,0.600446,0.494739,89252800
3/3/1992,0.604911,0.607143,0.591518,0.592634,0.488302,99276800
3/4/1992,0.591518,0.595982,0.578125,0.580357,0.478186,115371200
3/5/1992,0.575893,0.584821,0.5625,0.566964,0.467151,236723200
3/6/1992,0.566964,0.571429,0.5625,0.571429,0.47083,134288000
3/9/1992,0.569196,0.573661,0.566964,0.569196,0.46899,108942400
3/10/1992,0.571429,0.578125,0.569196,0.569196,0.46899,122696000
3/11/1992,0.569196,0.573661,0.5625,0.564732,0.465312,131656000
3/12/1992,0.564732,0.569196,0.549107,0.560268,0.461634,152902400
3/13/1992,0.564732,0.569196,0.553571,0.563616,0.464393,79184000
3/16/1992,0.560268,0.566964,0.551339,0.565848,0.466232,56291200
3/17/1992,0.566964,0.569196,0.560268,0.561384,0.462554,85097600
3/18/1992,0.564732,0.571429,0.5625,0.569196,0.46899,81032000
3/19/1992,0.569196,0.569196,0.560268,0.5625,0.463473,118518400
3/20/1992,0.5625,0.564732,0.5625,0.564732,0.465312,54163200
3/23/1992,0.5625,0.569196,0.5625,0.5625,0.463473,50075200
3/24/1992,0.566964,0.580357,0.564732,0.580357,0.478186,209417600
3/25/1992,0.580357,0.580357,0.573661,0.575893,0.474508,121553600
3/26/1992,0.578125,0.582589,0.569196,0.571429,0.47083,123020800
3/27/1992,0.570313,0.571429,0.540179,0.544643,0.44876,264532800
3/30/1992,0.546875,0.546875,0.515625,0.518973,0.427609,339035200
3/31/1992,0.520089,0.533482,0.517857,0.520089,0.428528,212632000
4/1/1992,0.511161,0.529018,0.511161,0.526786,0.434046,159656000
4/2/1992,0.526786,0.53125,0.521205,0.524554,0.432207,133974400
4/3/1992,0.524554,0.529018,0.522321,0.526786,0.434046,116457600
4/6/1992,0.526786,0.544643,0.526786,0.542411,0.446921,101987200
4/7/1992,0.544643,0.546875,0.511161,0.511161,0.421172,230216000
4/8/1992,0.508929,0.508929,0.488839,0.498884,0.411057,367024000
4/9/1992,0.5,0.520089,0.493304,0.511161,0.421172,192136000
4/10/1992,0.511161,0.513393,0.491071,0.495536,0.408298,274064000
4/13/1992,0.495536,0.506696,0.493304,0.504464,0.415654,122830400
4/14/1992,0.515625,0.529018,0.511161,0.524554,0.432207,144401600
4/15/1992,0.517857,0.543527,0.513393,0.540179,0.445082,217358400
4/16/1992,0.537946,0.542411,0.522321,0.526786,0.434046,258686400
4/20/1992,0.526786,0.526786,0.5,0.506696,0.417493,206046400
4/21/1992,0.508929,0.511161,0.5,0.502232,0.413815,180364800
4/22/1992,0.502232,0.517857,0.502232,0.514509,0.423931,171528000
4/23/1992,0.513393,0.520089,0.5,0.508929,0.419333,182817600
4/24/1992,0.508929,0.520089,0.5,0.504464,0.415654,98280000
4/27/1992,0.5,0.502232,0.491071,0.497768,0.410137,140268800
4/28/1992,0.493304,0.497768,0.473214,0.484375,0.399102,174126400
4/29/1992,0.484375,0.508929,0.484375,0.508929,0.419333,198900800
